AGE,BEDRMS,BUILT,NUNITS,ROOMS,WEIGHT,UTILITY
82,2,2006,1,6,3117.394239,169
50,4,1980,1,6,2150.725544,245.3333333
53,4,1985,1,7,2213.789404,159
67,3,1985,1,6,2364.585097,179
26,2,1980,100,4,2314.524902,146
56,1,1985,32,3,2482.655916,94.75
50,3,1985,1,6,4084.310118,236
26,2,1980,8,5,2823.39599,81
60,3,1985,1,7,2552.762241,184.0833333
26,1,1985,24,3,2845.454432,0
59,3,1985,1,5,2150.592362,172
54,5,2005,1,9,2791.995108,467.5833333
25,2,2009,12,4,1934.565082,135
53,3,2007,1,7,2840.95499,152.1666667
52,4,2009,1,9,2840.95499,364
67,5,1985,1,9,2428.354692,469.8333333
22,2,2005,8,4,2524.164373,50.08333333
55,3,1980,1,6,2918.327087,332.8333333
57,3,1980,1,9,2534.642076,245.6666667
84,2,1980,1,5,2226.80362,145.1666667
55,2,2004,1,6,2880.506791,65
74,2,2003,1,4,3152.342745,109
67,2,1990,1,6,3304.581422,141.8333333
70,3,1990,1,7,3522.801866,282.5
59,3,2005,1,7,2703.395803,288.25
62,2,1990,1,6,4007.388181,315
32,4,2004,1,7,2807.2076,310.8333333
-9,2,1980,24,5,1648.50752,0
54,4,2007,1,10,2080.747516,317
25,3,2012,1,6,4194.143162,184.8333333
41,3,1985,1,7,2023.995536,308
50,3,1990,1,10,3570.773875,207
15,2,2004,1,7,3736.447401,148.6666667
54,3,1980,1,7,2261.445448,163
24,3,2007,200,6,5081.703183,0
28,1,1990,60,3,3023.669904,52
24,2,2007,36,4,5756.60996,250.6666667
40,5,2007,1,9,2488.405077,301.8333333
26,3,2009,1,6,3266.401361,96
50,3,2008,1,6,1983.373313,174
86,1,1980,105,3,2045.933536,0
60,4,1990,1,8,3321.532218,241.1666667
39,3,2006,1,5,2660.859635,176.1666667
34,2,1985,1,4,3096.004644,33
64,3,1990,1,6,3996.478152,234.8333333
52,3,1990,1,7,4410.105187,258
71,3,1990,1,7,4946.868585,666.75
34,1,1985,1,3,1366.171372,0
72,4,1985,1,8,2483.823695,154
34,2,2007,1,4,1491.74126,310
64,2,1980,1,4,2851.392497,193.9166667
53,3,2004,16,5,2882.824448,110
45,3,2004,16,5,2882.824448,159
33,3,2004,16,5,2094.391217,168.6666667
29,2,2006,1,5,4395.677137,89
59,4,1980,1,9,2811.496989,270
33,3,2010,1,5,4287.442634,266.1666667
50,4,2005,1,6,2783.465425,214
52,5,1980,3,8,188.1316559,0
32,2,1985,6,4,251.682439,0
65,3,2002,1,6,2569.371089,288.6666667
24,4,2004,1,6,2203.886016,224.1666667
42,3,2004,1,6,2218.913979,185.5
52,3,1990,1,6,4214.43136,330
82,2,2003,1,4,2928.153255,102.5
51,3,2004,1,5,2809.075352,161.9166667
64,1,2007,10,3,3180.216751,72.33333333
23,2,1990,2,4,3152.000477,87
31,4,2004,1,6,2743.110353,368.9166667
49,3,2006,1,5,2560.781905,202
60,3,1980,1,6,2542.181426,191.0833333
64,3,1990,1,7,3657.577064,356.3333333
22,2,1980,6,4,1693.918812,110
56,3,1985,1,8,2550.502209,197.5
-9,0,1990,102,1,1488.846944,0
43,4,2004,1,8,2503.654482,181.3333333
40,3,2006,1,7,2636.299304,162.3333333
-9,1,2005,6,3,633.7787123,0
38,4,1980,1,8,3185.57946,289.1666667
28,3,2004,1,5,2722.360361,166.3333333
32,2,1980,2,5,2803.127954,125.4166667
60,4,2004,1,7,2559.566987,300
43,4,2003,1,8,3037.60444,155.8333333
66,4,1985,1,8,3049.180016,172.6666667
43,3,2006,1,5,2186.880171,0
31,3,2005,1,6,2238.717179,190.6666667
